21:40:12 macro number 613 / 3982, complete paths 0, partial paths 71000 (to-do list 25 / 61)
21:40:40 macro number 613 / 3982, complete paths 0, partial paths 72000 (to-do list 13 / 61)
21:41:08 macro number 613 / 3982, complete paths 0, partial paths 73000 (to-do list 7 / 61)
21:41:35 macro number 614 / 3982, complete paths 0, partial paths 74000 (to-do list 4 / 66)
21:42:02 macro number 621 / 3982, complete paths 0, partial paths 75000 (to-do list 2 / 66)
21:42:29 macro number 626 / 3982, complete paths 0, partial paths 76000 (to-do list 22 / 66)
21:42:55 macro number 626 / 3982, complete paths 0, partial paths 77000 (to-do list 32 / 66)
21:43:23 macro number 626 / 3982, complete paths 0, partial paths 78000 (to-do list 22 / 66)
21:43:51 macro number 627 / 3982, complete paths 0, partial paths 79000 (to-do list 16 / 66)
21:44:17 macro number 627 / 3982, complete paths 0, partial paths 80000 (to-do list 26 / 66)
21:44:45 macro number 627 / 3982, complete paths 0, partial paths 81000 (to-do list 17 / 66)
21:45:12 macro number 628 / 3982, complete paths 0, partial paths 82000 (to-do list 10 / 66)
21:45:38 macro number 628 / 3982, complete paths 0, partial paths 83000 (to-do list 18 / 66)
21:46:06 macro number 628 / 3982, complete paths 0, partial paths 84000 (to-do list 8 / 66)
21:46:32 macro number 629 / 3982, complete paths 0, partial paths 85000 (to-do list 19 / 66)
21:47:00 macro number 629 / 3982, complete paths 0, partial paths 86000 (to-do list 14 / 66)
21:47:27 macro number 629 / 3982, complete paths 0, partial paths 87000 (to-do list 24 / 66)
21:47:54 macro number 629 / 3982, complete paths 0, partial paths 88000 (to-do list 14 / 66)
21:48:20 macro number 631 / 3982, complete paths 0, partial paths 89000 (to-do list 45 / 66)
21:48:48 macro number 633 / 3982, complete paths 0, partial paths 90000 (to-do list 5 / 66)
21:49:15 macro number 640 / 3982, complete paths 0, partial paths 91000 (to-do list 1 / 66)
21:49:43 macro number 651 / 3982, complete paths 0, partial paths 92000 (to-do list 5 / 66)
21:50:16 macro number 656 / 3982, complete paths 0, partial paths 93000 (to-do list 13 / 66)
21:50:44 macro number 656 / 3982, complete paths 0, partial paths 94000 (to-do list 29 / 66)
21:51:12 macro number 656 / 3982, complete paths 0, partial paths 95000 (to-do list 14 / 66)
21:51:38 macro number 656 / 3982, complete paths 0, partial paths 96000 (to-do list 32 / 66)
21:52:10 macro number 656 / 3982, complete paths 0, partial paths 97000 (to-do list 17 / 66)
21:52:39 macro number 656 / 3982, complete paths 0, partial paths 98000 (to-do list 6 / 66)
21:53:07 macro number 656 / 3982, complete paths 0, partial paths 99000 (to-do list 19 / 66)
21:53:35 macro number 656 / 3982, complete paths 0, partial paths 100000 (to-do list 9 / 66)
21:54:02 macro number 656 / 3982, complete paths 0, partial paths 101000 (to-do list 25 / 66)
21:54:31 macro number 656 / 3982, complete paths 0, partial paths 102000 (to-do list 7 / 66)
